Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
182,ID-P-WRFW386 Preston,462.6,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3875: Preston,,,,
183,ID-P-five mile,462.725,+,5,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6900: boise,,,,
184,OR-ARRG PDX,462.55,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2515: Portland,,,,
185,OR-Albany 625,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5269: Albany,,,,
186,OR-Baldy 575,462.575,+,5,TSQL,179.9,179.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5463: Grants Pass,,,,
187,OR-Bcev,462.625,+,5,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9077: Bay City,,,,
188,OR-Board Corral Mountain,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8663: Adrian,,,,
189,OR-Boardman 625,462.625,+,5,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6648: Boardman,,,,
190,OR-Brightwood,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10421: Brightwood,,,,
191,OR-Brooks 600,462.6,+,5,TSQL,179.9,179.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10123: Brooks,,,,
192,OR-Brownsville/Central Valley 725,462.725,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7942: Brownsville,,,,
193,OR-Bunker Hill,462.625,+,5,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10938: St Helens,,,,
194,OR-CH550 - Chiloquin,462.55,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10327: Chiloquin,,,,
195,OR-COMMANDO,462.55,+,5,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8419: St Helens,,,,
196,OR-CP650,462.65,+,5,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/2390: Central Point,,,,
197,OR-Cooper Mountain,462.65,+,5,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10072: Beaverton,,,,
198,OR-Crescent Butte,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10743: Crescent,,,,
199,OR-Deschutes River Woods 600,462.6,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5012: Bend,,,,
200,OR-ELK 675 - OREGON GMRS,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/1282: Wimer - Jackson County,,,,
201,OR-EP600,462.6,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8466: Eagle Point,,,,
