Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
84,WA-Windy Ridge Repeater 725,462.725,+,5,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/1458: Chelan County,,,,
85,WA-Yelm,462.575,+,5,TSQL,167.9,167.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10508: Yelm,,,,
86,WA-gardner creek,462.575,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5659: republic,,,,
87,WA-P-AI-16,462.575,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/9810: Anderson Island,,,,
88,WA-P-BCW-GMRS,462.55,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/11125: Benton City,,,,
89,WA-P-Bayridge Fire,462.625,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10170: Burlington,,,,
90,WA-P-Bells Mountain,462.675,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6054: Battle Ground,,,,
91,WA-P-Cultus Mountain,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/3984: Sedro Woolley,,,,
92,WA-P-Dusk Peak,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10392: Covington,,,,
93,WA-P-Elephant Mtn .550,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/3629: Yakima,,,,
94,WA-P-Elk Repeater,462.6,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10838: Elk,,,,
95,WA-P-FTC EMer Net,462.625,+,5,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6579: Colville,,,,
96,WA-P-G2-Wenas,462.575,+,5,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5277: Selah,,,,
97,WA-P-GC GMRS G1,462.55,+,5,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5370: Grand Coulee,,,,
98,WA-P-Hillyard 575,462.575,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/5132: Spokane,,,,
99,WA-P-Issaquah CST 675,462.675,+,5,TSQL,203.5,203.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10533: Issaquah,,,,
100,WA-P-Issaquah CST 725,462.725,+,5,TSQL,171.3,171.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10204: Issaquah,,,,
101,WA-P-KCARC-Gold Mt,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/7965: Bremerton,,,,
102,WA-P-Lake Stevens 462.550,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/2516: Lake Stevens,,,,
103,WA-P-Lookout 725,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/4814: Bellingham,,,,
104,WA-P-MURDERLUV,462.575,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/11092: Kelso,,,,
105,WA-P-Mt. Pleasant Community,462.725,+,5,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3948: PORT ANGELES,,,,
106,WA-P-NCCERT,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/7699: Stanwood,,,,
107,WA-P-Oly-Comm1,462.675,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2122: Discovery Bay,,,,
108,WA-P-Oly-Comm2,462.675,+,5,TSQL,210.7,210.7,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2914: Port Townsend,,,,
109,WA-P-Pasco Stake Repeater,462.65,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9858: Pasco,,,,
110,WA-P-Pegasus 1,462.65,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/3595: Redmond,,,,
111,WA-P-Prosser/Rattlesnake,462.725,+,5,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10148: Grandview,,,,
112,WA-P-Prune Hill,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/5839: Camas,,,,
113,WA-P-RIS 700,462.7,+,5,Tone,100,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/4669: Lacey,,,,
114,WA-P-San Juan 600,462.6,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/1515: Decatur Island,,,,
115,WA-P-Satus G6,462.675,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6556: White Swan,,,,
116,WA-P-Selah G5,462.65,+,5,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5069: Selah,,,,
117,WA-P-Shorline,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/956: Shoreline,,,,
