zones,contacts,channels
ACS-UHF,,U01-CLM
ACS-VHF,,V01-PSR
Seattle/Central;SCE,Seattle 1,
Seattle/North;LFP,Seattle 1,
Seattle/West;SWE,Seattle 1,
Seattle/Metro;SEM,,
GMRS / FRS,,RP3-CAPH

