Channels,Contacts,Zones
"BC:Whisler/Black",,
"BC:NewWstmnstr",,
"BC:Vancouver/Sey",,
"BC:Squamish",,
"BC:W.Vancvr/Ambl",,
"BC:MM Dplx Alpha",,
"BC:MM SSlt Bravo",,
"BC:Nanaimo",,
"BC:PortAlberni",,
"BC:UBC",,
"BC:ViU",,
"BC:ViV",,
